Name,Tag_Series,Ticker,Link
Bank Deposits to GDP for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia/series/DDOI02AMA156NWDB,DDOI02AMA156NWDB,https://fred.stlouisfed.org/series/DDOI02AMA156NWDB
Percentage of Foreign Bank Assets Among Total Bank Assets for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia/series/DDOI14AMA156NWDB,DDOI14AMA156NWDB,https://fred.stlouisfed.org/series/DDOI14AMA156NWDB
Bank Z-Score for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia/series/DDSI01AMA645NWDB,DDSI01AMA645NWDB,https://fred.stlouisfed.org/series/DDSI01AMA645NWDB
Total Factor Productivity Level at Current Purchasing Power Parities for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia/series/CTFPPPAMA669NRUG,CTFPPPAMA669NRUG,https://fred.stlouisfed.org/series/CTFPPPAMA669NRUG
Age Dependency Ratio: Older Dependents to Working-Age Population for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia/series/SPPOPDPNDOLARM,SPPOPDPNDOLARM,https://fred.stlouisfed.org/series/SPPOPDPNDOLARM
Bank's Net Interest Margin for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia/series/DDEI01AMA156NWDB,DDEI01AMA156NWDB,https://fred.stlouisfed.org/series/DDEI01AMA156NWDB
Bank's Return on Assets for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia/series/DDEI05AMA156NWDB,DDEI05AMA156NWDB,https://fred.stlouisfed.org/series/DDEI05AMA156NWDB
Infant Mortality Rate for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia/series/SPDYNIMRTINARM,SPDYNIMRTINARM,https://fred.stlouisfed.org/series/SPDYNIMRTINARM
Population Growth for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia/series/SPPOPGROWARM,SPPOPGROWARM,https://fred.stlouisfed.org/series/SPPOPGROWARM
Total Factor Productivity at Constant National Prices for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia/series/RTFPNAAMA632NRUG,RTFPNAAMA632NRUG,https://fred.stlouisfed.org/series/RTFPNAAMA632NRUG
Bank Lending Deposit Spread for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia/series/DDEI02AMA156NWDB,DDEI02AMA156NWDB,https://fred.stlouisfed.org/series/DDEI02AMA156NWDB
"Fertility Rate, Total for Armenia",https://fred.stlouisfed.org/tags/series?t=armenia/series/SPDYNTFRTINARM,SPDYNTFRTINARM,https://fred.stlouisfed.org/series/SPDYNTFRTINARM
Share of Labour Compensation in GDP at Current National Prices for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia/series/LABSHPAMA156NRUG,LABSHPAMA156NRUG,https://fred.stlouisfed.org/series/LABSHPAMA156NRUG
Deposit Money Bank Assets to Deposit Money Bank Assets and Central Bank Assets for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia/series/DDDI04AMA156NWDB,DDDI04AMA156NWDB,https://fred.stlouisfed.org/series/DDDI04AMA156NWDB
U.S. Granted Patents: Design Patents Originating in Armenia,https://fred.stlouisfed.org/tags/series?t=armenia/series/PATENT4NAMDESIGN,PATENT4NAMDESIGN,https://fred.stlouisfed.org/series/PATENT4NAMDESIGN
U.S. Granted Patents: Plant Patents Originating in Armenia,https://fred.stlouisfed.org/tags/series?t=armenia/series/PATENT4NAMPLANT,PATENT4NAMPLANT,https://fred.stlouisfed.org/series/PATENT4NAMPLANT
Purchasing Power Parity Converted GDP Per Capita (Chain Series) for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/RGDPCHAMA625NUPN,RGDPCHAMA625NUPN,https://fred.stlouisfed.org/series/RGDPCHAMA625NUPN
Number of Identified Exporters to Armenia from Vermont,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/VTARMA475SCEN,VTARMA475SCEN,https://fred.stlouisfed.org/series/VTARMA475SCEN
Value of Exports to Armenia from New York,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/NYARMA052SCEN,NYARMA052SCEN,https://fred.stlouisfed.org/series/NYARMA052SCEN
Ratio of GNP to GDP for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/GNPGDPAMA156NUPN,GNPGDPAMA156NUPN,https://fred.stlouisfed.org/series/GNPGDPAMA156NUPN
Percentage of Foreign Banks Among Total Banks for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/DDOI13AMA156NWDB,DDOI13AMA156NWDB,https://fred.stlouisfed.org/series/DDOI13AMA156NWDB
Non-Oil Real GDP Growth in Constant Prices for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/ARMNGDPXORPCHPT,ARMNGDPXORPCHPT,https://fred.stlouisfed.org/series/ARMNGDPXORPCHPT
World Pandemic Uncertainty Index for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/WUPIARM,WUPIARM,https://fred.stlouisfed.org/series/WUPIARM
"Total Purchasing Power Parity Converted GDP, G-K method, at current prices for Armenia",https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/PPPGDPAMA619NUPN,PPPGDPAMA619NUPN,https://fred.stlouisfed.org/series/PPPGDPAMA619NUPN
Openness at Current Prices for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/OPENCPAMA156NUPN,OPENCPAMA156NUPN,https://fred.stlouisfed.org/series/OPENCPAMA156NUPN
Use of Financial Services: Number of Loan Accounts at Commercial Banks for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/ARMFCNODCNUM,ARMFCNODCNUM,https://fred.stlouisfed.org/series/ARMFCNODCNUM
Value of Exports to Armenia from District of Columbia,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/DCARMA052SCEN,DCARMA052SCEN,https://fred.stlouisfed.org/series/DCARMA052SCEN
Deposit Money Bank Assets to GDP for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/DDDI02AMA156NWDB,DDDI02AMA156NWDB,https://fred.stlouisfed.org/series/DDDI02AMA156NWDB
Imports of Goods and Services for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/ARMBMUSD,ARMBMUSD,https://fred.stlouisfed.org/series/ARMBMUSD
Stock Market Total Value Traded to GDP for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/DDDM02AMA156NWDB,DDDM02AMA156NWDB,https://fred.stlouisfed.org/series/DDDM02AMA156NWDB
5-Bank Asset Concentration for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/DDOI06AMA156NWDB,DDOI06AMA156NWDB,https://fred.stlouisfed.org/series/DDOI06AMA156NWDB
Barro-Lee: Population age 25+ with tertiary schooling. Total (Incomplete and Completed Tertiary) for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/BARTERICMP25UPZSARM,BARTERICMP25UPZSARM,https://fred.stlouisfed.org/series/BARTERICMP25UPZSARM
Lerner Index in Banking Market for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/DDOI04AMA066NWDB,DDOI04AMA066NWDB,https://fred.stlouisfed.org/series/DDOI04AMA066NWDB
Gross Domestic Product in Constant Prices for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/ARMNGDPRPCHPT,ARMNGDPRPCHPT,https://fred.stlouisfed.org/series/ARMNGDPRPCHPT
Gross Domestic Product Per Capita for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/PCAGDPAMA646NWDB,PCAGDPAMA646NWDB,https://fred.stlouisfed.org/series/PCAGDPAMA646NWDB
Expenditure-side Real GDP at Chained Purchasing Power Parities for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/RGDPESAMA666NRUG,RGDPESAMA666NRUG,https://fred.stlouisfed.org/series/RGDPESAMA666NRUG
"Life Expectancy at Birth, Total for Armenia",https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/SPDYNLE00INARM,SPDYNLE00INARM,https://fred.stlouisfed.org/series/SPDYNLE00INARM
Number of Identified Exporters to Armenia from Delaware,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/DEARMA475SCEN,DEARMA475SCEN,https://fred.stlouisfed.org/series/DEARMA475SCEN
Balance on Current Account for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/ARMBCAUSD,ARMBCAUSD,https://fred.stlouisfed.org/series/ARMBCAUSD
Mutual Fund Assets to GDP for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/DDDI07AMA156NWDB,DDDI07AMA156NWDB,https://fred.stlouisfed.org/series/DDDI07AMA156NWDB
Exports of Goods and Services for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/ARMBXUSD,ARMBXUSD,https://fred.stlouisfed.org/series/ARMBXUSD
Non-Bank Financial Institutions' Assets to GDP for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/DDDI03AMA156NWDB,DDDI03AMA156NWDB,https://fred.stlouisfed.org/series/DDDI03AMA156NWDB
Exchange Rate (market+estimated) for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/XRNCUSAMA618NRUG,XRNCUSAMA618NRUG,https://fred.stlouisfed.org/series/XRNCUSAMA618NRUG
Employment to Population Ratio for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/SLEMPTOTLSPZSARM,SLEMPTOTLSPZSARM,https://fred.stlouisfed.org/series/SLEMPTOTLSPZSARM
Bank's Non-Interest Income to Total Income for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/DDEI03AMA156NWDB,DDEI03AMA156NWDB,https://fred.stlouisfed.org/series/DDEI03AMA156NWDB
Insurance Company Assets to GDP for Armenia,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/DDDI11AMA156NWDB,DDDI11AMA156NWDB,https://fred.stlouisfed.org/series/DDDI11AMA156NWDB
U.S. Exports of Goods by F.A.S. Basis to Armenia,https://fred.stlouisfed.org/tags/series?t=armenia&et=&pageID=2/series/EXP4631,EXP4631,https://fred.stlouisfed.org/series/EXP4631
